Ref,Val,Package,PosX,PosY,Rot,Side
"R18","330","R_0603_1608Metric",72.750000,-91.550000,180.000000,top
"R19","47k","R_0603_1608Metric",57.050000,-69.150000,-90.000000,top
"R20","330","R_0603_1608Metric",85.100000,-133.400000,180.000000,top
"R21","4.7k","R_0603_1608Metric",114.600000,-132.100000,180.000000,top
"R22","10k","R_0603_1608Metric",113.550000,-137.850000,90.000000,top
"R23","10k","R_0603_1608Metric",86.550000,-123.500000,90.000000,top
"R24","10k","R_0603_1608Metric",123.900000,-132.350000,0.000000,top
"R25","5.1k","R_0603_1608Metric",131.340000,-138.560000,90.000000,top
"R26","5.1k","R_0603_1608Metric",133.860000,-138.440000,90.000000,top
"R27","22","R_0603_1608Metric",112.160000,-125.820000,0.000000,top
"R28","22","R_0603_1608Metric",112.150000,-127.410000,0.000000,top
"R29","1k","R_0603_1608Metric",110.425000,-130.850000,180.000000,top
"R30","1k","R_0603_1608Metric",110.425000,-129.250000,180.000000,top
"R31","1k","R_0603_1608Metric",87.460000,-109.525000,-90.000000,top
"R32","1k","R_0603_1608Metric",84.950000,-109.525000,-90.000000,top
"R33","1k","R_0603_1608Metric",82.440000,-109.525000,-90.000000,top
"R34","10k","R_0603_1608Metric",101.825000,-100.550000,0.000000,top
"R35","100k","R_0603_1608Metric",96.750000,-119.800000,-90.000000,top
"R36","10k","R_0603_1608Metric",70.950000,-133.725000,-90.000000,top
"R38","0","R_0805_2012Metric",111.350000,-69.000000,0.000000,top
"U3","CP2102N-A02-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",71.350000,-119.200000,0.000000,top
"U4","BMI088","Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering",100.250000,-108.550000,0.000000,top
"U5","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",111.062500,-101.300000,-90.000000,top
"U6","ULN2003A","SOIC-16_3.9x9.9mm_P1.27mm",124.800000,-93.000000,0.000000,top
"U7","LM358","SOIC-8_3.9x4.9mm_P1.27mm",79.450000,-93.050000,0.000000,top
"U8","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",98.325000,-137.000000,180.000000,top
"U9","AP63203WU","TSOT-23-6",96.650000,-69.850000,-90.000000,top
